1500 5000
354478 236 1
743640 1425 4
509262 797 4
586606 1010 4
231935 923 4
646027 911 2
282697 43 2
723535 1200 4
191085 161 2
229095 1256 6
869403 653 5
114343 112 2
743334 646 3
387045 584 1
461252 283 1
137854 865 1
104654 1272 2
82626 992 1
777881 659 1
244033 1044 1
288458 1434 6
895250 750 4
722547 1245 3
739637 1283 5
373247 889 5
503223 1350 5
376304 1401 6
194081 1311 1
135283 1431 3
205475 1417 3
618643 196 1
894752 857 6
588840 105 1
109619 1411 1
135230 1433 3
79583 59 6
276210 1427 4
396430 631 5
469503 1415 3
244183 691 5
186085 242 2
171661 858 6
314861 980 1
602244 1201 4
874201 1406 4
207734 884 4
274881 902 4
359656 402 6
52560 837 5
115829 778 1
149077 441 5
430339 1186 4
876972 1124 2
414447 231 6
551509 1101 6
975773 1404 6
395046 1026 3
945885 739 4
523577 791 3
239103 720 5
552470 1015 5
569873 1144 4
865651 1155 4
398586 1292 4
311561 1389 3
402543 402 1
853071 249 3
71319 1196 2
245582 1314 4
349937 1299 6
751891 953 2
603862 1302 1
7157 1287 5
515362 292 2
385112 1429 6
43772 879 6
905148 176 1
86053 1113 5
10015 271 4
439727 173 6
895188 971 4
153035 1181 3
607816 1183 5
275925 1085 6
184401 1169 6
840488 1289 5
895250 891 4
173462 972 6
771886 1394 6
241677 1311 3
969223 724 4
134769 1214 4
18311 553 5
811631 1394 1
633833 1060 1
420650 834 2
346264 1101 5
26429 1430 3
754799 1127 5
641947 599 2
561556 80 3
773354 1302 4
495645 1279 6
394262 1334 3
791755 1133 5
151370 884 6
718273 1246 1
522272 37 3
774975 1426 6
736191 1406 5
849131 1394 5
7175 1126 3
806306 836 3
127804 62 2
696565 877 4
767937 1185 5
923642 719 2
887675 1083 3
52976 854 2
290749 985 6
818223 1346 3
801912 772 5
400340 1415 6
141142 1375 3
625322 595 4
898566 342 6
462218 1370 6
422380 1293 6
283088 1274 4
309578 257 5
422380 1345 6
954347 650 1
993136 1087 4
89951 290 3
163687 989 5
253583 1262 6
13368 1 3
650002 1263 3
560763 920 5
559388 1212 1
859561 1206 4
485509 274 4
157186 306 5
605636 334 3
773815 848 2
620825 1154 2
413141 424 1
125857 1251 2
377731 1430 2
245600 782 3
878141 1405 5
242023 1244 6
676969 840 2
480976 967 6
506680 1084 4
16680 183 6
103221 1152 1
741811 908 6
894786 1047 2
528880 861 2
429729 1152 1
690145 1336 5
544539 1077 2
247679 116 4
976553 917 5
407891 761 1
36600 1239 3
486367 1392 5
918609 368 1
576963 1172 4
460143 982 4
378795 940 4
525135 1304 1
195596 1411 1
474684 1398 3
767937 1054 5
258004 985 6
254477 1043 3
104357 990 2
418056 686 3
935837 1291 2
524155 1421 5
959868 1384 5
85850 539 4
669483 924 1
236097 137 1
581645 285 5
518956 1348 1
62459 756 6
229359 771 5
600607 1328 5
582208 1233 6
656220 1401 3
689206 1412 5
836377 1003 6
484697 790 6
520589 91 2
839102 1195 6
751014 1372 2
214353 1100 1
486164 1426 6
205754 540 3
771385 534 4
253583 1110 6
784027 1294 2
940692 1348 2
602987 1260 6
890150 1357 5
700089 635 1
495398 901 3
83490 874 6
285299 320 1
192769 1437 5
243907 1394 5
363466 748 6
952575 1369 3
430339 542 4
521050 274 6
476264 799 4
364557 1392 1
942709 25 1
797993 179 4
887675 315 3
928266 330 3
441957 1062 5
989518 1247 2
413141 1146 1
821948 1327 3
462218 910 6
186218 293 2
912821 1165 2
254062 1181 2
629375 761 4
13235 995 3
229431 209 3
482899 928 4
565115 1248 2
238489 1413 5
873671 500 1
398844 1226 4
903009 930 6
36600 425 3
176061 1206 6
971977 1340 5
62217 1428 2
725947 153 5
36955 52 4
765847 981 6
135822 723 4
512056 880 1
731196 1282 5
210690 411 3
21071 877 4
109902 1287 5
329090 221 2
152954 837 6
491723 1038 4
291073 74 2
628575 1251 5
643398 1359 2
667003 1284 2
280679 1422 3
228074 58 5
752696 906 5
787595 1429 4
54543 467 3
397742 1266 4
422989 1233 5
754557 529 2
333899 1145 1
904745 1372 1
957134 303 5
322611 1065 6
483349 884 6
252859 544 4
495431 1154 2
43622 242 6
944417 1422 3
774056 1364 5
713843 721 6
301377 1271 2
759497 661 3
384903 1293 3
930944 996 1
70869 1309 1
948412 887 1
767289 119 5
847937 592 2
953887 1115 4
814971 1253 1
906026 1051 2
13197 921 6
541170 998 6
519145 932 5
957058 1200 5
314084 58 5
960099 901 3
501166 823 2
777942 1275 5
623491 1041 5
649199 1433 2
439993 166 3
351217 400 6
420052 1421 5
527716 1399 2
551509 1426 6
496044 1036 5
336549 923 3
251189 1012 6
197425 1001 5
757803 344 2
515362 1081 2
319342 1204 4
944227 1437 2
933956 1325 5
668518 38 1
802375 1034 1
477475 989 5
137854 1069 1
432450 1227 1
467975 1025 2
546910 1366 5
144829 391 6
349935 878 3
422173 673 2
328677 896 5
932021 1100 1
798466 1002 5
573318 1042 3
495930 1151 4
241049 208 5
867050 500 1
105769 1098 3
986686 1090 2
615405 1188 2
987716 296 1
811411 875 4
576926 238 2
433335 569 3
67400 1087 2
55732 1387 3
983395 1400 3
36239 688 6
638290 942 2
419655 848 2
894757 948 5
496787 1344 3
82656 1423 3
278739 1349 3
553477 992 5
291334 1388 5
985708 1339 2
527149 1403 1
324098 1365 5
591211 1047 3
234201 708 1
900982 841 1
626744 1133 1
412416 1402 4
965164 1123 5
136036 1192 5
928266 371 3
741409 1404 1
691126 815 3
968638 1304 3
826839 339 1
458642 1347 1
180846 1306 3
273318 436 3
774967 1067 3
389287 1413 1
828375 690 5
215790 104 2
656112 1432 3
287744 1283 3
193463 1423 4
468460 489 1
233234 1059 4
723641 436 6
241312 785 4
46950 1184 6
153773 1376 4
577851 360 6
302245 1310 1
44543 755 2
471761 714 3
185285 382 6
833041 1036 5
527864 393 4
158352 1425 5
342064 1353 5
405475 1175 1
788490 1322 3
620632 400 1
815757 1385 5
391251 1167 5
183317 698 3
702255 1103 2
145251 1349 4
865533 600 5
979725 1281 3
996298 1164 1
599209 256 4
934172 797 5
247509 560 4
551605 1223 2
801298 1356 2
667927 1440 3
532644 1279 6
14570 1019 5
366341 36 6
548838 458 1
65141 976 1
530882 1100 3
34448 1355 2
736036 988 6
678377 1124 3
241593 917 1
333289 406 3
819556 1048 2
706773 794 2
193712 410 2
822181 1395 5
186514 1255 4
182290 1420 5
986686 775 2
285299 1334 1
84987 679 2
894752 1071 6
230823 1226 3
316752 1363 6
419983 1340 1
149091 996 1
592575 810 2
175243 449 6
562685 1311 3
153565 1406 5
121484 692 5
426946 1209 6
742034 206 2
296016 1357 2
131417 1279 1
366291 1073 3
553362 204 2
210924 1314 3
614931 532 4
463723 190 1
442312 1438 2
686221 1084 3
621554 1192 4
384903 1384 3
37806 1220 3
964365 327 4
393300 1140 6
97541 1109 3
304536 1209 4
370087 991 5
541653 1006 2
21903 1402 5
173952 336 6
532644 1378 6
85229 493 3
976336 1222 5
912591 691 4
227913 573 3
242162 1323 4
521781 1320 6
33739 1434 3
638105 212 6
341992 860 4
765122 707 3
704548 1222 1
387731 941 1
78432 1054 6
741811 386 6
523518 1394 4
760173 390 2
278319 1065 5
648076 1397 6
683542 597 3
123492 1055 4
565712 1431 1
551175 541 3
45700 921 1
696588 935 4
373028 1218 3
124146 582 6
478969 52 5
741121 537 2
306951 335 5
141883 1160 2
271944 204 2
385808 684 6
725290 1411 4
808674 1208 6
461252 921 1
507160 1310 4
701377 1205 5
141622 876 5
863867 1242 6
124146 913 6
35819 1159 6
499922 985 4
303997 926 5
929159 269 3
547377 49 5
570232 831 4
946452 471 5
813458 10 4
124453 132 4
800292 1186 6
191261 1024 2
979230 1306 2
672046 134 3
447515 521 1
70789 1163 4
419686 1014 6
135889 1217 5
587642 1173 3
139446 1360 1
874374 337 4
518057 541 2
189582 845 2
221933 54 2
818354 775 2
355049 1240 6
622405 810 6
359331 1308 1
593932 1131 4
793816 978 5
372267 996 1
185045 1350 3
492329 1424 6
642502 1362 6
792062 772 5
372599 695 2
975773 885 6
979725 599 3
960707 1038 4
728890 1353 2
383189 133 1
960707 834 4
482899 20 4
36359 1283 6
628575 551 5
447493 199 1
841446 382 2
774244 1324 4
684911 369 4
855475 417 3
757739 1321 4
257518 945 5
446501 324 6
824273 92 4
978566 800 2
831001 315 2
826839 523 1
764335 1395 6
971977 794 5
11731 990 5
23967 1218 6
189582 6 2
596420 1144 5
585993 197 4
269424 850 6
518057 921 2
896950 1395 2
196115 1257 1
521225 457 4
928479 90 5
87148 654 3
246790 1071 5
948932 715 2
324839 1342 2
125093 587 4
461658 600 3
693679 1387 1
875480 1202 1
898507 882 3
373125 790 6
601366 911 5
841267 1165 2
758299 1416 6
585981 759 1
672693 230 6
331525 775 2
50693 483 4
427045 1283 5
523577 722 3
478670 1179 4
2783 1149 1
531669 1392 4
13368 902 3
416317 609 1
60233 933 1
143862 244 3
639533 808 1
833877 1371 6
712331 1127 5
585488 1162 6
898566 250 6
859823 655 6
825175 1151 2
776327 1433 6
51021 1435 6
998528 459 3
359475 1148 2
340901 1397 5
314096 446 6
139306 734 6
353061 697 1
169158 578 2
55145 1413 1
495431 1235 2
167179 1149 4
270795 1087 2
648390 1183 5
138303 581 6
248847 900 6
214963 1402 1
502501 1235 1
215290 47 4
134413 1202 2
532118 1087 6
184786 65 5
481194 305 2
380941 1187 1
48206 339 6
761528 1395 5
627238 1142 2
378221 1275 4
492800 338 5
587732 933 2
331797 1167 2
853071 812 3
364609 1180 3
474684 1430 3
122401 786 6
997151 564 2
346603 988 5
772336 1261 1
355049 1370 6
806810 1177 2
436540 1025 5
845115 1062 5
166005 183 2
841546 1283 5
214986 814 3
229165 1410 4
45116 1096 2
752696 1077 5
263248 1221 4
969172 1249 5
443302 429 2
790515 1059 2
693679 999 1
776385 788 4
743234 854 6
185285 889 6
305980 277 2
680153 527 5
804199 2 6
88053 1226 6
865533 1266 5
951629 1175 3
289238 656 6
381275 1279 5
553477 489 5
45231 135 5
245582 195 4
186514 1400 4
730123 898 2
74836 1153 2
833289 34 6
497111 1381 4
974698 140 2
334858 211 4
720385 96 5
222354 262 1
25371 1439 2
802967 1428 3
987175 1221 3
909543 865 3
122401 1287 6
332483 1053 2
233234 357 4
650794 749 2
611621 716 4
439727 539 6
847899 722 1
654177 1063 5
238143 615 2
916748 1257 5
25120 1297 5
430922 1299 3
874201 1049 4
933975 365 1
683137 1008 6
64944 927 6
330329 115 4
261429 998 3
539719 705 4
894328 1168 4
964206 518 2
707782 1420 4
815812 480 1
259235 771 6
405105 851 5
384439 385 5
422173 563 2
333899 606 1
359331 1129 1
52976 248 2
518165 1093 4
181416 1363 4
188806 1074 6
688452 586 6
158654 1165 4
702776 1190 2
636369 515 2
440516 769 6
464463 1299 5
398554 547 6
747942 1404 3
266702 894 4
984775 761 5
451952 1034 3
60687 1371 3
241049 270 5
28389 1203 3
654094 391 3
291880 846 6
24783 488 3
258687 1316 1
411134 1263 1
986254 1197 1
600607 980 5
382142 897 4
490879 1037 5
69798 1339 6
37280 896 3
54584 1397 2
796268 1094 4
828037 633 2
224259 138 5
352672 1347 6
648092 308 5
494018 43 5
480867 606 3
507937 52 5
228523 628 1
482723 978 4
75618 463 3
465733 800 4
120368 1106 3
796440 1270 1
538281 1353 3
145556 455 5
746228 179 2
852530 997 1
418625 555 4
817444 181 6
775304 767 6
456620 875 4
788490 836 3
714498 504 2
737502 1391 2
104357 227 2
785212 1201 1
652190 818 5
744377 203 5
381275 1342 5
195899 1056 3
554687 982 5
269114 1207 2
559388 1268 1
414063 726 5
929974 287 3
461658 986 3
764133 1133 3
963536 1113 1
159785 1330 2
910965 1393 2
666740 321 4
411647 1371 3
215279 912 3
36359 1090 6
958686 1078 5
778669 862 3
12845 1056 6
511696 993 4
608516 526 2
317028 1289 1
805851 911 1
383283 729 5
568886 1202 1
743972 674 3
83490 1190 6
75668 1160 3
137476 447 3
959044 1248 1
972521 1376 5
216762 770 3
628289 1208 3
25516 1411 5
180846 1345 3
134862 456 6
825175 1332 2
439557 1328 4
311016 478 1
959868 1267 5
336141 700 6
962371 1008 4
472037 1223 6
434609 1096 1
253703 1042 1
284095 1294 4
982946 537 4
902107 405 3
59027 1000 6
82110 490 6
272981 55 3
755125 1134 6
609109 1412 6
668872 1175 5
786226 1342 6
142630 526 3
36659 1131 3
754557 1017 2
856256 1067 1
89245 917 2
664925 1136 6
299302 1309 2
227100 479 3
347050 624 4
199940 1431 5
834062 1413 1
527878 231 3
826719 899 2
554617 160 3
760304 1228 6
662558 557 3
228459 424 5
522640 557 4
460721 447 1
283254 888 4
833289 697 6
909447 1302 2
810824 729 1
536903 1388 3
220937 523 6
363684 706 1
826664 1108 5
907044 1141 1
116812 611 1
557945 137 1
610477 245 6
286305 988 4
931693 1427 1
496381 878 5
487501 239 6
729857 1184 2
429292 1258 1
243879 619 5
625968 570 6
279672 284 3
393829 1205 4
826719 1189 2
622431 1206 6
655600 1126 3
920390 1184 2
447432 645 2
642831 895 5
240649 21 4
199342 1313 1
929248 1099 4
968090 1245 4
896761 1381 3
649518 398 1
944721 1350 2
549520 773 4
141403 998 4
209234 55 4
123930 9 1
806995 812 4
896950 1343 2
810449 1353 4
777335 1048 6
381408 1203 6
515306 556 2
575076 377 2
348820 1415 2
505293 862 1
193463 1370 4
597520 720 1
981631 1138 2
113622 1020 2
51855 950 1
554687 1079 5
585981 598 1
670144 602 5
203497 219 6
901296 719 2
621769 1336 1
362119 1204 1
75460 586 4
680868 251 2
987558 1425 1
593150 1191 1
483988 808 4
951044 559 2
972669 35 3
561556 323 3
744520 416 3
254062 930 2
923473 1021 6
354866 1049 3
424925 1351 4
771389 1315 6
432438 923 6
820220 899 6
359527 899 1
319364 730 2
485136 414 5
733478 586 5
837797 1199 5
567923 1440 1
518767 238 1
363684 1075 1
799493 514 5
958775 1021 3
780724 991 1
859823 1165 6
784027 1057 2
94810 1018 4
7344 1381 1
37835 1344 1
485136 928 5
329570 1192 2
517167 590 1
247068 930 4
818223 62 3
330556 325 1
468906 716 4
3561 753 5
394262 1248 3
26059 1365 6
359698 813 3
398554 1252 6
679028 716 1
609361 800 3
538460 1237 3
758299 1324 6
290640 895 4
32219 983 1
137569 857 5
964967 1390 3
57806 1150 2
214986 1199 3
771385 1378 4
432950 1326 3
556017 1242 3
118168 1298 1
637593 1120 1
282853 1341 3
24467 90 4
536209 1207 2
634671 1336 1
449609 969 4
359527 1414 1
859561 1274 4
815355 882 3
630576 707 6
127804 311 2
578393 727 2
463617 177 6
829275 1336 4
80830 307 3
147034 994 4
909167 1175 5
238653 1396 4
351186 1330 2
495930 378 4
334958 1280 4
488073 251 2
641947 202 2
367467 455 5
287925 1428 4
549006 1341 5
769375 444 3
586151 1383 4
467618 1371 6
297760 860 2
608697 244 6
785659 338 4
820220 1154 6
864603 936 1
668773 782 6
491591 1400 1
718273 802 1
340261 1085 4
383394 652 4
555294 117 5
143819 58 4
829423 435 5
938709 1081 5
294178 1381 4
742269 311 6
175418 1433 1
972521 569 5
110153 602 5
476044 1088 1
609694 1152 2
804485 172 5
393829 2 4
563593 973 5
835926 1387 6
329370 210 3
778548 1114 5
476142 1440 2
495087 1415 5
185500 1060 3
616306 537 2
815355 433 3
792062 911 5
570626 273 6
693801 366 1
246790 1204 5
460452 100 1
504434 1155 4
995921 637 4
929159 753 3
220 160 6
283766 502 2
996637 1187 1
189657 26 3
961316 44 1
964206 1409 2
587980 1286 1
454794 1263 6
971264 782 3
574645 571 5
725895 662 4
398804 1089 3
458642 1251 1
577373 259 4
347591 913 3
133668 1258 6
394032 1383 6
546503 875 3
305210 198 5
706397 894 5
393300 1270 6
70184 821 3
410587 1166 2
322338 1134 3
385657 661 2
454348 1006 5
320553 1208 5
673302 513 6
679115 1428 3
675916 655 4
499246 577 5
843651 432 3
954328 635 5
71319 1265 2
228459 676 5
101420 639 2
534218 515 3
549363 280 4
837117 1340 4
855475 11 3
334958 1377 4
200174 1158 1
517545 533 1
933921 1169 2
702850 1253 4
548531 980 1
572299 1276 4
838962 1326 6
191105 1384 6
47052 524 6
976351 1203 5
84979 1268 4
2441 1183 6
947202 724 6
450882 580 5
416751 719 1
712221 356 1
887579 674 6
778669 756 3
330259 322 6
318219 437 3
622513 1023 5
286261 306 2
908359 1423 6
946343 940 2
767941 1063 5
536209 1074 2
431706 730 1
475434 1299 5
5931 312 4
971973 344 2
516763 1359 2
802843 1401 5
738225 1164 5
614931 1381 4
499922 628 4
699622 996 3
327636 1379 2
576557 1174 6
200966 614 6
235908 68 1
216762 535 3
539719 962 4
762377 1295 4
288265 1317 5
550556 1026 2
550257 834 6
430922 1166 3
41973 275 1
872273 190 6
854829 1178 6
215022 1085 5
415819 1022 3
939437 1375 1
341435 1182 1
29849 493 3
81125 1361 5
519014 1343 4
999063 1008 5
29175 19 4
432950 321 3
413899 1404 4
114408 255 3
463497 264 2
382142 1098 4
627744 922 1
928276 1111 5
853061 436 2
2949 1395 3
982039 964 3
443302 70 2
715432 1107 1
109967 1417 4
101303 760 1
415819 129 3
409529 1349 2
995921 1084 4
340261 948 4
953800 268 1
119068 962 3
24783 904 3
567880 1314 3
568886 432 1
331797 1349 2
552903 1258 6
809317 1011 3
279939 1284 3
21156 1074 5
97765 1432 3
959531 1231 1
303997 601 5
22829 871 6
55829 1305 5
327321 1212 4
538460 142 3
504421 1160 2
980564 396 1
304877 356 1
139187 1081 1
944097 1065 6
776327 1337 6
306593 717 4
370510 1325 2
506009 587 3
50561 1421 5
491819 112 1
495407 348 2
594606 610 3
436567 868 6
787556 627 1
227479 1357 3
779558 910 1
482707 822 4
936500 1112 3
498540 1282 5
233412 481 3
576210 1295 2
193195 1188 1
713141 854 6
103221 558 1
36827 735 2
765019 1334 3
51710 1436 4
303989 593 4
930944 904 1
760955 1232 2
409809 896 6
205609 1426 3
137339 1399 5
134862 418 6
982189 1186 6
143819 662 4
477159 41 6
330243 402 2
84979 1410 4
86053 1213 5
197687 1283 6
508025 52 6
149 816 6
756914 380 3
288848 1347 5
397276 1271 4
345307 1344 6
396430 231 5
825626 371 4
329090 182 2
405660 875 4
656895 1145 2
531256 758 6
642831 1102 5
833041 219 5
54584 1314 2
784742 1341 4
641720 806 1
706397 1002 5
896761 1419 3
650137 1273 2
269114 250 2
854829 842 6
193930 1196 5
635571 910 1
924472 1223 4
416973 424 5
920998 730 1
137658 144 4
43622 781 6
491819 778 1
691126 735 3
83539 884 3
495763 508 3
698452 897 2
99440 1247 3
34214 1254 6
974698 1348 2
98437 511 4
938058 1375 6
674633 725 2
99791 620 1
814478 99 4
108458 1045 1
34448 819 2
737166 270 3
23482 895 4
207156 898 5
826664 1194 5
601315 1012 4
932021 874 1
869732 921 5
141141 269 2
259958 505 5
184068 1052 2
197116 964 2
635196 637 5
9160 1364 4
26150 1433 4
13922 1149 1
425558 804 3
498764 1140 5
401671 13 3
680592 72 6
251793 1176 5
423593 1205 6
952671 392 5
591329 692 6
387045 452 1
594283 1163 2
183492 67 4
326136 1264 3
426045 797 4
410972 1284 6
22351 337 3
86446 788 3
340173 1352 2
670357 1328 1
609617 940 5
965487 999 6
229359 1440 5
852818 1115 1
3534 1178 3
819484 1352 1
716041 1015 1
322338 941 3
969223 526 4
443025 154 6
901004 1335 1
780724 358 1
736052 526 5
304216 598 6
91611 949 2
347575 1 4
396672 1246 5
682707 445 4
926769 857 4
81547 1154 4
531443 1255 5
326580 1417 6
242023 1046 6
222007 630 1
256861 1309 4
978228 525 4
908005 812 1
425717 1413 5
697181 1115 1
193930 190 5
975681 312 4
701431 1226 5
502648 319 6
318674 1190 4
579898 1394 1
605919 656 1
361096 868 6
386662 1434 1
523518 1314 4
274207 635 5
979810 850 1
964503 982 4
841446 89 2
381374 678 4
623070 1392 2
429008 1266 1
519014 1422 4
662475 357 4
921099 868 5
960760 1309 6
656617 1149 5
836356 140 5
969942 873 2
139799 249 5
587516 1053 1
452968 288 4
981631 818 2
870055 436 2
655301 1352 1
399987 88 1
273520 1321 4
695063 425 6
779393 1025 4
962530 1438 3
259958 938 5
657434 1287 5
37806 1041 3
214963 516 1
885370 301 3
467087 1310 6
832099 1285 2
719760 326 6
468640 451 4
822970 1374 4
667952 1309 2
309421 1048 1
699622 867 3
502538 1226 5
765847 1337 6
79920 1157 3
366654 1118 1
359475 651 2
890287 659 3
561230 1403 1
251201 1074 4
980564 172 1
11703 885 1
209743 218 2
670633 1278 4
667927 1354 3
374237 1087 1
496044 1338 5
828094 477 2
368198 1351 4
968977 1092 3
798466 10 5
276541 967 6
588539 669 4
39345 795 1
135130 921 6
776278 635 4
2499 973 6
626518 543 1
548362 434 6
463731 1202 2
383189 332 1
723641 31 6
808674 997 6
939437 1415 1
883768 432 1
468431 814 2
907367 1093 5
306079 286 6
606068 1410 3
965694 1273 2
418625 679 4
380358 24 1
175648 1265 1
39972 787 2
447387 666 4
411201 849 4
550552 33 3
862678 1436 4
36827 137 2
161905 1174 4
652575 363 3
145749 4 2
48206 764 6
371911 363 1
65445 1211 4
971591 794 1
24467 276 4
817043 887 4
53604 862 1
758987 804 5
54543 640 3
502379 430 4
135889 515 5
282456 1035 3
480976 695 6
937847 102 6
584475 1400 6
105769 1277 3
828881 1430 1
774975 1106 6
316173 891 1
594332 181 4
319801 1316 2
45116 1021 2
773390 741 6
965694 1399 2
586896 216 1
667816 942 6
451198 1054 4
180476 983 5
565849 1134 4
953800 1276 1
261408 1401 2
831669 205 1
657095 1063 1
368198 378 4
294051 961 1
483095 1338 1
600315 771 2
572299 1435 4
451952 973 3
260833 1400 3
403408 869 1
923428 923 2
640568 451 2
516152 1203 3
422989 783 5
118168 1157 1
345307 1237 6
238143 387 2
762798 1271 5
973531 1212 1
428075 163 1
965164 1230 5
902107 1411 3
793816 1261 5
960099 1325 3
487501 1431 6
945263 1345 2
280597 972 2
55044 983 4
781137 1143 4
277082 1432 5
515208 1141 4
230796 620 3
454935 174 3
440697 1435 2
553362 686 2
640568 1128 2
280679 1257 3
853190 1044 6
686781 747 5
344813 89 4
797993 722 4
756914 1083 3
124512 1306 5
762091 714 6
620030 1031 1
536903 1435 3
86409 1338 5
499057 1357 3
465977 461 6
43516 819 4
936753 1440 4
856500 1040 3
730273 148 6
230823 992 3
523489 1424 1
670784 894 6
48188 28 4
686421 987 4
847937 1429 2
461018 1093 3
670784 1374 6
908005 1387 1
157186 681 5
518429 1142 4
441747 267 3
972669 262 3
465977 992 6
397858 369 5
825626 263 4
460340 898 6
93226 1364 5
191105 1351 6
44687 1352 1
941702 1428 6
28251 1362 6
130064 1006 4
302748 959 4
804616 1430 4
57806 246 2
402543 1098 1
193237 1367 4
796440 1378 1
879202 790 3
146562 1226 5
6780 1387 2
514009 657 5
856649 1292 2
11246 1221 5
378670 833 5
384498 929 2
801059 635 4
971973 721 2
306593 1270 4
634373 370 3
287744 1362 3
521050 667 6
495763 1153 3
369702 1293 4
544689 1305 6
205475 894 3
269871 723 5
511670 1262 2
556017 1272 3
326499 1223 6
804829 327 1
528277 227 6
469267 560 1
194157 142 6
696071 559 6
824646 1322 5
78757 888 3
570626 219 6
605152 1047 1
35091 514 1
286260 1400 1
652269 724 5
325018 229 5
944817 1112 2
256107 1374 3
378670 1005 5
219944 1437 2
247679 909 4
336549 1237 3
210924 374 3
177547 589 2
718119 11 6
443069 89 3
764686 1422 3
645785 362 4
59237 37 1
995222 1006 2
925277 1197 2
278265 1354 4
210676 401 2
759497 1041 3
199210 1298 5
562216 379 3
437477 1268 5
522287 341 2
423593 1303 6
944081 1438 4
224259 913 5
173813 734 2
381868 305 3
11197 832 1
560763 600 5
800357 873 5
648718 1353 2
398732 1139 6
360764 546 2
513234 427 6
758420 1152 5
411647 758 3
643127 744 1
465230 515 3
339488 1316 6
683670 966 4
172338 824 1
636369 174 2
593987 1371 2
668773 497 6
345698 518 2
215279 805 3
111150 1230 3
418056 915 3
258687 441 1
161698 688 1
692830 697 6
477159 1134 6
219944 1397 2
851110 1323 4
21071 1146 4
279749 1432 5
743334 1212 3
79583 1290 6
6780 957 2
852687 756 5
144841 606 2
888885 1141 1
318647 984 3
799787 840 4
482304 1391 2
264429 989 3
755577 905 2
838962 1360 6
468431 920 2
424255 588 1
663006 361 5
506952 228 3
580392 1042 6
716714 1277 4
15393 766 3
691385 459 5
660510 854 1
455598 1016 4
448622 1166 3
171272 1062 5
94991 1297 4
989033 1323 3
74464 1171 5
125857 1433 2
742520 1382 4
60233 1194 1
442609 760 4
151475 797 2
670144 715 5
222354 1171 1
301119 534 3
794996 1294 6
230675 1142 3
321660 1367 6
318150 1195 5
619871 1176 2
314014 894 4
708483 554 6
490815 1184 4
97677 826 6
720740 1251 6
417918 1158 4
485509 501 4
322961 1309 4
675022 1243 6
903543 1410 5
186827 968 3
363052 637 6
666453 1209 3
718016 1298 5
391432 843 1
267630 1309 6
813458 539 4
839203 1047 6
752860 768 6
228513 1079 4
805753 1068 1
419655 1239 2
683762 318 5
958763 799 6
362361 1301 1
209743 1024 2
626987 995 2
823824 1429 2
958825 956 4
784310 1031 5
902534 1349 2
552642 785 5
826795 968 6
291856 416 1
273275 1383 3
777942 1390 5
261586 896 6
659503 188 2
406249 1331 5
282283 728 3
791046 849 2
411463 515 5
737166 936 3
143862 423 3
171472 612 2
910085 1335 6
600804 27 3
177254 316 3
261429 743 3
643243 305 5
69197 1242 6
135230 637 3
933896 996 6
62459 1064 6
323190 1050 2
113622 1205 2
171272 1267 5
632285 1141 5
354324 463 2
13496 221 1
16680 885 6
371144 912 2
226220 1415 1
290640 814 4
767196 163 2
83643 1416 1
520589 866 2
151370 941 6
723243 282 2
372267 942 1
193237 1271 4
377731 1390 2
482304 1318 2
976553 444 5
115935 1394 2
532323 1215 2
461541 835 6
715600 404 4
726549 1233 6
370669 834 4
11197 673 1
846945 1329 2
994813 1090 3
244183 606 5
318626 922 2
668181 139 3
2810 876 3
158078 577 1
274881 333 4
931411 843 5
197793 1422 5
281729 1154 2
423088 327 2
54896 1265 2
800623 721 6
479899 1123 2
454518 1321 1
793745 234 4
417422 420 6
909661 1433 5
146723 1425 2
879553 787 6
158654 114 4
228970 188 6
819556 1111 2
833332 850 4
690145 822 5
884415 423 5
279939 1382 3
493833 1002 1
308001 633 4
677159 232 1
626744 1190 1
707761 495 2
597586 292 2
995494 304 5
21605 1240 2
93943 1067 3
660769 808 2
814259 1341 6
24103 890 2
504421 622 2
420256 1269 3
456612 140 6
834894 677 3
247835 1307 5
969295 631 5
190549 1394 4
929974 1165 3
636207 438 6
472037 1403 6
985623 1011 6
741413 962 5
364557 1194 1
760304 1116 6
820233 1094 3
717469 938 4
498540 1402 5
128643 28 5
10384 1214 2
221055 1040 6
507329 1386 5
576906 643 1
622926 1367 3
342064 430 5
520377 411 3
554532 85 1
305097 1105 5
425874 1050 6
128379 436 1
68414 772 2
175590 1439 6
380670 1185 3
791742 1175 3
169470 350 1
443025 20 6
51422 967 1
920290 1066 6
13634 1272 2
785841 817 2
923969 910 2
886251 203 3
12845 823 6
82110 998 6
726554 1391 6
812719 719 5
978921 1419 5
456620 171 4
893622 1319 5
309578 562 5
282438 1409 3
676141 1303 6
938255 751 5
975931 1024 3
684679 1391 6
755125 1346 6
40449 934 3
594332 1161 4
599989 1322 2
488983 1200 4
695063 32 6
802865 1316 3
718080 943 1
10015 996 4
857623 587 6
992666 743 1
679394 835 6
790917 789 4
49324 845 3
916341 613 2
81480 875 6
602897 14 6
566660 122 4
235908 1180 1
501255 427 5
272618 1208 2
321660 1433 6
454474 478 4
289686 1430 5
960760 1260 6
650301 1281 2
391146 1233 6
813192 1140 2
156146 73 1
832189 1291 1
818131 1378 6
225824 309 2
828094 980 2
420650 441 2
334858 708 4
281983 1127 3
272306 1427 1
556176 904 3
